id,name,media_type,genres,created_by,published_by,short_description,franchises,regions
79,Deadly Class,Show,{Sci-Fi},{},{Syfy},"Set in a dark, comic book world against the backdrop of late 80s counter culture, Deadly Class follows a homeless teen recruited into a storied elite private school where the world's top crime families send their next generations.",{},
84,Diablero,Show,{},{},{Netflix.com},"The eternal fight between good and evil among devils and angels in the colorful streets of Mexico will open the door to a fantasy world never seen before, where anything can happen.",{},
85,Dickinson,Show,{Comedy},{},{Apple TV Plus},"Dickinson explores the constraints of society, gender, and family from the perspective of a rebellious young poet, Emily Dickinson. ",{},
88,Dogs,Show,{Documentary},{},{Netflix.com},"An elegant, engaging and cinematic verite documentary series celebrating the deep emotional bonds between people and their beloved four-legged best friends. The series tracks six incredible stories from across the globe including Syria, Japan, Costa Rica, Italy and the US—each proving that the unconditional love one feels for their dog is a beautiful universal truth. ",{},
90,Doom Patrol,Show,{Drama},{},{DC Universe},"Doom Patrol is a re-imagining of one of DC’s most beloved group of outcast Super Heroes: Robotman, Negative Man, Elasti-Girl and Crazy Jane, led by modern-day mad scientist Dr. Niles Caulder (The Chief).",{},
92,Dracula [2020],Show,{Drama},{},{Netflix.com},The Count Dracula legend transforms with new tales that flesh out the vampire's gory crimes -- and bring his vulnerability into the light.,{},
98,Elite,Show,{Drama},{},{Netflix.com},"When three working-class teens enroll in an exclusive private school in Spain, the clash between them and the wealthy students leads to murder.",{},
99,Emergence,Show,{Drama},{},{ABC},Emergence centers around a sheriff who takes in a young child that she finds near the site of a mysterious accident who has no memory of what has happened.  Allison Tolman stars.,{},
100,Encore!,Show,{Reality},{},{Disney Plus},"Executive producer Kristen Bell brings together former castmates of a high school musical, tasking them with re-creating their original performance in high school reunion like no other. Emotions run high as the former students face faded friendships, former flames, self-doubt, and killer choreography. Through it all, these unlikely groups of friends—with the help of Broadway’s best—just might pull off a standing-ovation-worthy performance of beloved musicals like ""The Sound of Music,"" ""Beauty and the Beast,"" ""Annie"" and more.",{},
102,Evil,Show,{Drama},{},{CBS},"EVIL is a psychological mystery that examines science vs. religion and the origins of evil. The series focuses on a skeptical female forensic psychologist who joins a priest-in-training and a carpenter to investigate and assess the Church’s backlog of supposed miracles, demonic possessions and unexplained phenomena.",{},
110,Final Space,Show,{Animation},{},{Adult Swim},An inept astronaut named Gary Goodspeed works with a growing cast of shipmates to save the universe from a powerful telekinetic creature known as the Lord Commander.,{},
113,For All Mankind,Show,{Sci-Fi},{},{Apple TV Plus},"Told through the lives of astronauts, engineers and their families, ""For All Mankind"" imagines a world in which the global space race never ended and the space program remained the cultural centerpiece of America's hopes and dreams.",{},
114,Forky Asks a Question,Show,{Animation},{},{Disney Plus},"Forky, in Disney and Pixar’s “Toy Story 4,” is a craft project created from trash, has important questions about how the world works, such as: What is love? What is time? And of course, the deepest question of all, What is cheese? He explores all of these questions and more in a collection of 10 shorts.",{},
122,Ghoul,Show,{Horror},{},{Netflix.com},"When a new prisoner at a military detention center exhibits eerie behavior, a young interrogator’s search for the truth becomes a battle for survival. ",{},
130,Hanna,Show,{Drama},{},{Amazon Prime},"Raised in total seclusion in the remote woods of Eastern Europe, Hanna (Esme Creed-Miles) has spent her entire young life training to fight those who hunt her and her mercenary father, Erik Heller (Joel Kinnaman)",{},
133,High Fidelity: The Series,Show,{Comedy},{},{Disney Plus},"High Fidelity is a comedy series based on the Nick Hornby novel, which also spawned a hit movie in 2000. ",{},
151,Katy Keene,Show,{Drama},{},{The CW},"Centered around the budding fashionista in New York City, Katy Keene is a spin-off of the hit show Riverdale. ",{},
159,Legacies,Show,{Drama},{},{The CW},Legacies is a spin-off of The Originals that tells the story of the next generation of supernatural beings at The Salvatore School for the Young and Gifted.,{},
162,Limetown,Show,{Drama},{},{Facebook Watch},,{},
163,Lincoln Rhyme: Hunt for the Bone Collector,Show,{Crime},{},{NBC},A retired NYPD detective teams up with an ambitious young detective to help capture some of the most dangerous criminals in America.,{},
166,Living With Yourself,Show,{Comedy},{},{Netflix.com},"Created and written by Timothy Greenberg, Living With Yourself is a philosophical comedy that asks: do we really want to be better? It stars Paul Rudd as a man struggling with his life who undergoes a novel treatment to become a better person, and finds he is his own worst enemy.",{},
168,"Love, Death and Robots",Show,{Animation},{},{Netflix.com},"Love, Death & Robots is a collection of animated short stories that span the science fiction, fantasy, horror and comedy genres. With a bold approach to each story’s narrative, episodes are intended to be easy to watch and hard to forget.",{},
176,Manifest,Show,{Drama},{},{NBC},"Manifest explores the impact of a mysterious plane's disappearance and reappearance.  For the passengers, no time has gone by.  For those outside, five years has transpired.",{},
179,Marvel Hero Project,Show,{Documentary},{},{Disney Plus},"Marvel Hero Project reveals the remarkable, positive change several young heroes are making in their own communities. These young heroes have dedicated their lives to selfless acts of bravery and kindness, and now, Marvel celebrates them as the true Super Heroes they are.",{},
181,Marvel Rising: Initiation,Show,{Animation},{},{Disney XD},"Marvel Rising: Initiation consists of six 4-minute digital shorts that spotlight Spider-Gwen with her new secret moniker, Ghost-Spider. ",{},
186,Messiah,Show,{Drama},{},{Netflix.com},A CIA officer investigates a charismatic figure whose followers believe that he can perform miracles. Is he a divine entity or a dangerous con artist?,{},
196,Mythic Quest: Raven's Banquet,Show,{Comedy},{},{Apple TV Plus},"From Rob McElhenney and Charlie Day, Mythic Quest: Raven's Banquet is a half-hour comedy series starring McElhenney as the creative director at a video game development studio. ",{},
197,Nancy Drew,Show,{Crime},{},{The CW},"Nancy Drew (Kennedy McMann) is a brilliant teen detective whose sense of self comes from solving mysteries in her hometown of Horseshoe Bay, Maine.",{},
198,Narcos: Mexico,Show,{Crime},{},{Netflix.com},"Shifting away from Colombia, where Narcos spent three seasons, Narcos: Mexico explores the origins of the modern drug war by going back to its roots.",{},
205,NOS4A2,Show,{Drama},{},{AMC},"NOS4A2 tells the story of Charlie Manx, a seductive immortal who feeds off the souls of children, then deposits what remains of them into Christmasland",{},
212,Origin,Show,{Sci-Fi},{},{Youtube},"From the producers of The Crown and Outlander comes Origin, a sci-fi thriller where a group of strangers find themselves stranded on a spacecraft bound for a distant planet.",{},
215,Party of Five [2020],Show,{Drama},{},{Freeform},"Party of Five follows the Acosta siblings, Emilio, Lucia, Beto, Valentina and baby Rafa, as they struggle to stay together in the wake of their parents' deportation.",{},
219,Pennyworth,Show,{Drama},{},{Epix.com},"Written by Bruno Heller, based on DC characters created by Bob Kane and Bill Finger, Pennyworth follows Bruce Wayne's butler, Alfred Pennyworth.",{},
229,Prodigal Son,Show,{Drama},{},{FOX},"The son of a notorious serial killer works as a criminal psychologist for the NYPD, helping them solve crimes.",{},
235,Ragnarok,Show,{Drama},{},{Netflix.com},Ragnarok is a coming-of-age drama building on and contributing to a new and surprising angle on Norse mythology.,{},
242,Russian Doll,Show,{Comedy},{},{Netflix.com},Russian Doll follows a young woman named Nadia (Natasha Lyonne) on her journey as the guest of honor at a seemingly inescapable party one night in New York City.,{},
243,Sacred Games,Show,{},{},{Netflix.com},"A policeman, a criminal overlord, a Bollywood film star, politicians, cultists, spies, and terrorists—the lives of the privileged, the famous, the wretched, and the bloodthirsty interweave with cataclysmic consequences amid the chaos of modern-day Mumbai.",{},
249,Seis Manos,Show,{Animation},{},{Netflix.com},"Set in Mexico in the 1970’s era, Seis Manos centers on three orphaned martial arts warriors who join forces with a DEA agent and a Mexican Federale to battle for justice after their beloved mentor is murdered. ",{},
250,Servant,Show,{Drama},{},{Apple TV Plus},"Toby Kebbell stars opposite Lauren Ambrose in M. Night Shyamalan's series, about parents Dorothy (Ambrose) and Sean Turner (Kebbell), who have hired young nanny Leanne (Nell Tiger Free) to help care for their newborn child.",{},
261,Star Trek: Picard,Show,{Sci-Fi},{},{CBS All Access},This Star Trek series follows Jean-Luc Picard (Patrick Stewart) in events that take place after Star Trek: The Next Generation.,{},
262,Star Trek: Short Treks,Show,{Sci-Fi},{},{CBS All Access},Star Trek: Short Treks is a series of short stories set in the Star Trek universe.,{},
267,Stumptown,Show,{Drama},{},{ABC},"Written by Jason Richman, Stumptown, inspired by the graphic novels, follows Dex Parios, a strong, assertive, and unapologetically sharp-witted army veteran working as a P.I. in Portland, Oregon. With a complicated personal history and only herself to rely on, she solves other people’s messes with a blind eye toward her own.",{},
271,Swamp Thing,Show,{Drama},{},{DC Universe},Swamp Thing is a scary love story following Abby Arcane as she investigates what seems to be a deadly swamp-born virus in a small town in Louisiana but soon discovers that the swamp holds mystical and terrifying secrets.,{},
272,Sword Art Online Alternative: Gun Gale Online,Show,{Anime},{},{},"Sword Art Online Alternative: Gun Gale Online centers on Karen Kohiruimaki, who is bad at dealing with people in her life and plays virtual shooter MMO Gun Gale Online as a feminine pink-clad Llenn. She eventually hits it off with another female player named Pitohui, who encourages her to join the Battle Royale-style tournament known as Squad Jam.",{},
285,The Dragon Prince,Show,{Animation},{},{Netflix.com},"Two human princes forge an unlikely bond with the elfin assassin sent to kill them, and together embark on an epic quest to bring peace to their warring lands. ",{},
289,The Imagineering Story,Show,{Documentary},{},{Disney Plus},"Creating happiness is hard work. This six-hour saga by Academy Award nominated director, Leslie Iwerks, chronicles the sixty-seven year history of Walt Disney Imagineering, a place best described as equal parts artist studio, design center, think tank and innovation laboratory.",{},
290,The Innocent Man,Show,{Documentary},{},{Netflix.com},"In a story that gained national attention with John Grisham’s best-selling non-fiction book, The Innocent Man: Murder and Injustice in a Small Town, the six-part documentary series The Innocent Man focuses on two murders that shook the small town of Ada, Oklahoma, in the 1980s — and the controversial chain of events that followed.",{},
295,The Little Drummer Girl,Show,{Drama},{},{AMC},,{},
300,The Outsider,Show,{Drama},{},{HBO},"Based on the Stephen King novel, The Outsider centers on an investigation into the death of a local boy which takes an unusual supernatural turn, forcing everyone to question what they believe.",{},
303,The Society,Show,{Drama},{},{Netflix.com},"The Society follows a group of teenagers who are mysteriously transported to a facsimile of their wealthy New England town without any trace of their parents. Their newfound freedom will be fun... but it will also be very dangerous.  As they struggle to figure out what has happened to them and how to get home, they must establish order and form alliances if they want to survive.",{},
304,The Spy [Netflix],Show,{Drama},{},{Netflix.com},"Sacha Baron Cohen plays Eli Cohen in The Spy, a six episode limited drama series exploring Cohen’s role as a spy for Israel in Syria in the early 1960s. ",{},
305,The Toys That Made Us,Show,{Documentary},{},{Netflix.com},The minds behind history's most iconic toy franchises discuss the rise -- and sometimes fall -- of their billion-dollar creations.,{},
306,The World According to Jeff Goldblum,Show,{Documentary},{},{Disney Plus},"See the world through the eyes of Jeff Goldblum.  Jeff pulls back the curtain on a seemingly familiar object to reveal a world of astonishing connections, fascinating science, and a whole lot of big ideas.",{},
313,Truth Be Told [2019],Show,{Drama},{},{Apple TV Plus},"Octavia Spencer stars in an adaptation of Kathleen Barber’s true-crime novel, which explores how the boom in crime podcasts can have unintended consequences for suspects and victims.",{},
314,Turn Up Charlie,Show,{Comedy},{},{Netflix.com},Idris Elba stars as a failed DJ trying to relaunch his career while working as a nanny for his superstar best friend's wild child 11-year-old daughter.  Piper Perabo and JJ Feild also star.,{},
315,Ultraman,Show,{Animation},{},{Netflix.com},"Once there was a ""Giant of Light"" that defended world peace from the threat of giant monsters and alien invasions. His name was Ultraman.",{},
328,Warrior [Cinemax],Show,{Crime},{},{Cinemax},"Warrior is a gritty, action-packed crime drama set during the brutal Tong Wars of San Francisco's Chinatown in the second half of the 19th century.  The series follows Ah Sahm, a martial arts prodigy who immigrates from China to San Francisco under mysterious circumstances, and becomes a hatchet man for one of Chinatown's most powerfun crime families.",{},
329,Watership Down [Netflix],Show,{Drama},{},{Netflix.com},"Set in the idyllic rural landscape of southern England, this dramatic animated tale of adventure, courage, and survival follows a band of rabbits on their flight from the intrusion of man and the certain destruction of their home. ",{},
332,What/If [Netflix],Show,{Drama},{},{Netflix.com},Social thriller What/If explores the ripple effects of what happens when acceptable people start doing unacceptable things.,{},
333,Who Is America?,Show,{Comedy},{},{Showtime},,{},
338,Wu Assassins,Show,{Drama},{},{Netflix.com},"Set in San Francisco's Chinatown, Wu Assassins is a martial arts crime series with supernatural elements.  It stars Iko Uwais as Kai Jin, who becomes the latest and last Wu Assassin, chosen to round up the powers of an ancient triad and restore balance.",{},
339,Wu-Tang: An American Saga,Show,{Drama},{},{Hulu},Wu-Tang: An American Saga is inspired by the true story of the Wu-Tang Clan.,{},
345,You [Netflix],Show,{Drama},{},"{Netflix.com,Lifetime}","When a brilliant bookstore manager crosses paths with an aspiring writer, his answer becomes clear: anything. Using the internet and social media as his tools to gather the most intimate of details and get close to her. ",{},
